id,generation,name,types,supertype,subtypes,hp,evolvesTo,rarity,attack_name,AVG_damage,gerarchic
base1-1,First,Alakazam,['Psychic'],Pokémon,['Stage 2'],80.0,,Rare Holo,Confuse Ray,30.0,
base1-2,First,Blastoise,['Water'],Pokémon,['Stage 2'],100.0,,Rare Holo,Hydro Pump,31.73951305368143,
base1-3,First,Chansey,['Colorless'],Pokémon,['Basic'],120.0,['Blissey'],Rare Holo,Scrunch|Double-edge,80.0,"Chansey, Blissey"
base1-4,First,Charizard,['Fire'],Pokémon,['Stage 2'],120.0,,Rare Holo,Fire Spin,100.0,
base1-5,First,Clefairy,['Colorless'],Pokémon,['Basic'],40.0,['Clefable'],Rare Holo,Sing|Metronome,31.73951305368143,"Clefairy, Clefable"
base1-6,First,Gyarados,['Water'],Pokémon,['Stage 1'],100.0,,Rare Holo,Dragon Rage|Bubblebeam,45.0,
base1-7,First,Hitmonchan,['Fighting'],Pokémon,['Basic'],70.0,,Rare Holo,Jab|Special Punch,30.0,Hitmonchan
base1-8,First,Machamp,['Fighting'],Pokémon,['Stage 2'],100.0,,Rare Holo,Seismic Toss,60.0,
base1-9,First,Magneton,['Lightning'],Pokémon,['Stage 1'],60.0,['Magnezone'],Rare Holo,Thunder Wave|Selfdestruct,55.0,
base1-10,First,Mewtwo,['Psychic'],Pokémon,['Basic'],60.0,,Rare Holo,Psychic|Barrier,31.73951305368143,Mewtwo
base1-11,First,Nidoking,['Grass'],Pokémon,['Stage 2'],90.0,,Rare Holo,Thrash|Toxic,20.0,
base1-12,First,Ninetales,['Fire'],Pokémon,['Stage 1'],80.0,,Rare Holo,Lure|Fire Blast,80.0,
base1-13,First,Poliwrath,['Water'],Pokémon,['Stage 2'],90.0,,Rare Holo,Water Gun|Whirlpool,40.0,
base1-14,First,Raichu,['Lightning'],Pokémon,['Stage 1'],80.0,,Rare Holo,Agility|Thunder,40.0,
base1-15,First,Venusaur,['Grass'],Pokémon,['Stage 2'],100.0,,Rare Holo,Solarbeam,60.0,
base1-16,First,Zapdos,['Lightning'],Pokémon,['Basic'],90.0,,Rare Holo,Thunder|Thunderbolt,80.0,Zapdos
base1-17,First,Beedrill,['Grass'],Pokémon,['Stage 2'],80.0,,Rare,Twineedle|Poison Sting,40.0,
base1-18,First,Dragonair,['Colorless'],Pokémon,['Stage 1'],80.0,['Dragonite'],Rare,Slam|Hyper Beam,20.0,
base1-19,First,Dugtrio,['Fighting'],Pokémon,['Stage 1'],70.0,,Rare,Slash|Earthquake,55.0,
base1-20,First,Electabuzz,['Lightning'],Pokémon,['Basic'],70.0,['Electivire'],Rare,Thundershock|Thunderpunch,10.0,"Electabuzz, Electivire"
base1-21,First,Electrode,['Lightning'],Pokémon,['Stage 1'],80.0,,Rare,Electric Shock,50.0,
base1-22,First,Pidgeotto,['Colorless'],Pokémon,['Stage 1'],60.0,['Pidgeot'],Rare,Whirlwind|Mirror Move,20.0,
base1-23,First,Arcanine,['Fire'],Pokémon,['Stage 1'],100.0,,Uncommon,Flamethrower|Take Down,65.0,
base1-24,First,Charmeleon,['Fire'],Pokémon,['Stage 1'],80.0,['Charizard'],Uncommon,Slash|Flamethrower,40.0,
base1-25,First,Dewgong,['Water'],Pokémon,['Stage 1'],80.0,,Uncommon,Aurora Beam|Ice Beam,40.0,
base1-26,First,Dratini,['Colorless'],Pokémon,['Basic'],40.0,['Dragonair'],Uncommon,Pound,10.0,"Dratini, Dragonair, Dragonite"
